                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1245,                 1.9002,                 1.2625,                0.10429,                0.06305,                0.07429,                0.05086,                 3.1244,                 5.0581,                 2.5847,               0.067295,             3.2738e-05,             3.2738e-05
                      2,                0.72031,                 1.1589,                 1.0339,                0.83199,                0.62183,                0.74703,                0.63544,                0.73293,                 1.0272,                 1.0495,               0.033991,             6.2801e-05,             6.2801e-05
                      3,                0.68642,                 1.0465,                 1.0079,                0.92705,                0.76417,                0.85741,                0.73363,                 0.5937,                0.55487,                0.92527,              0.0006848,             8.9564e-05,             8.9564e-05
                      4,                0.63719,                0.97799,                 0.9932,                0.90157,                0.79677,                0.86603,                0.74533,                0.57428,                0.51342,                0.91078,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                0.62781,                0.94247,                0.98275,                0.92476,                0.77903,                0.86802,                0.74709,                0.57083,                0.49932,                0.90787,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                 0.6195,                0.91272,                0.97964,                0.88815,                0.80562,                0.87336,                0.75211,                0.56785,                0.49176,                 0.9046,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                0.61299,                0.90434,                0.97022,                0.92969,                0.79355,                0.87536,                0.75319,                0.55903,                0.48378,                0.90163,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                 0.6006,                0.87606,                0.96459,                0.94287,                0.78434,                0.87713,                0.75753,                0.55687,                 0.4691,                0.90071,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                0.60255,                0.86596,                0.95946,                0.94472,                0.78546,                0.87927,                 0.7598,                0.55195,                0.45984,                0.89715,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                0.58362,                0.85406,                0.96443,                0.93272,                0.80015,                 0.8803,                0.76065,                0.55115,                0.45118,                  0.898,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                0.53506,                0.51196,                0.88619,                0.90601,                0.80972,                0.87992,                0.76325,                0.54193,                 0.4533,                0.88967,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                0.52286,                0.47937,                0.88621,                0.94178,                0.79191,                0.88268,                0.76525,                0.53941,                0.43915,                 0.8887,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                 0.5209,                0.47487,                0.88296,                0.94736,                0.78553,                0.88209,                0.76548,                0.53512,                0.43831,                0.88579,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                0.51874,                0.46948,                0.88261,                0.93688,                0.79991,                0.88494,                0.76946,                0.53389,                0.42609,                0.88565,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                0.51251,                0.46037,                 0.8767,                0.94849,                0.79127,                0.88573,                0.77079,                0.53285,                0.42629,                0.88408,               3.07e-05,               3.07e-05,               3.07e-05
                     16,                0.51462,                0.45633,                0.87475,                0.92201,                0.80989,                0.88591,                0.77137,                0.53157,                0.42638,                0.88336,              2.575e-05,              2.575e-05,              2.575e-05
                     17,                0.50905,                0.45094,                0.87441,                0.95242,                 0.7969,                0.88772,                0.77243,                0.52997,                0.42122,                0.88318,               2.08e-05,               2.08e-05,               2.08e-05
                     18,                0.50782,                0.44486,                0.87417,                  0.946,                0.80346,                0.88865,                0.77397,                  0.529,                0.42216,                0.88202,              1.585e-05,              1.585e-05,              1.585e-05
                     19,                0.50843,                0.44457,                0.87528,                 0.9547,                0.79977,                0.88913,                0.77421,                 0.5279,                 0.4215,                0.88146,               1.09e-05,               1.09e-05,               1.09e-05
                     20,                0.50782,                0.44167,                0.86886,                 0.9493,                0.80109,                 0.8885,                0.77483,                0.52822,                0.41985,                 0.8813,               5.95e-06,               5.95e-06,               5.95e-06
